id,age,political_orientation,political_interest,np_subscription,news consumption,experiment_group,trust_t1,trust_t2,trust_t1_item1,trust_t1_item2,trust_t1_item3,trust_t1_item4,trust_t1_item5,trust_t2_item1,trust_t2_item2,trust_t2_item3,trust_t2_item4,trust_t2_item5
1,52,center,3.498524924478045,yes,17,positive,3,2.8249780793253993,3,1,7,2,3,3,4,8,3,2
2,49,center,5.21283542245383,yes,17,negative,5,5.354581437411433,5,3,4,3,5,4,2,6,4,5
3,44,right,3.495154434888718,yes,18,positive,3.25,3.3688981768374306,3,3,8,3,4,2,2,8,2,3
4,34,left,3.5343985267896465,no,12,negative,4.25,2.8827628427655023,3,1,6,4,5,3,1,8,3,3
5,28,left,3.5446872459434235,no,12,negative,4,3.256694599263023,4,3,7,4,4,3,1,9,2,2
6,58,center,2.6277295616306655,yes,16,control,3.75,6.460656468522135,4,3,7,3,4,6,2,6,4,6
7,32,right,3.8307127750075756,yes,14,control,3.75,6.380897626000696,5,2,7,2,4,5,1,7,5,6
8,57,right,3.1666698662713317,yes,16,positive,2.75,4.833257386723435,3,4,8,2,3,4,4,7,3,4
9,36,center,4.836858416673026,yes,14,control,4.25,6.817679800540407,5,2,6,3,4,5,4,6,5,6
10,29,center,4.561822130607159,no,11,negative,5.75,6.227435367432655,5,3,5,6,6,5,3,6,4,5
11,36,left,2.972385346369654,yes,18,positive,3,4.625825554989418,3,1,8,3,3,4,3,6,4,4
12,46,right,4.217399786108485,yes,15,control,4.5,3.74998168831548,4,2,6,4,5,3,1,9,2,4
13,54,center,2.243011598163341,yes,14,positive,4.25,5.668970159668019,5,1,7,3,5,4,4,6,3,6
14,37,center,3.9634281128623132,yes,14,positive,4.25,4.595915672238862,4,3,7,4,5,4,1,7,4,4
15,51,right,5.058803195735737,no,10,control,4,4.693604052569779,4,5,8,4,5,3,3,6,4,4
16,36,left,3.428351629719563,no,16,positive,3.25,4.626646717826887,3,1,7,2,4,4,1,7,4,5
17,52,left,4.719554077603799,no,9,negative,4,3.515035970300072,4,1,7,4,4,2,2,7,3,4
18,32,left,4.256599531537656,no,12,control,5.75,7.857035529369749,6,3,4,4,6,7,3,5,5,8
19,33,center,5.108081325806741,yes,11,control,4,5.065938463956254,4,1,7,3,5,4,4,8,5,5
20,20,left,5.131548744692513,no,13,negative,3.75,2.96626775361762,4,1,8,4,4,3,2,8,2,3
21,33,center,2.080618910547842,no,15,control,3.5,3.031485253098433,3,1,7,3,4,3,1,9,3,2
22,44,center,2.9474808411322773,no,16,positive,5.5,6.313042097350928,5,1,4,4,6,5,3,6,4,6
23,38,left,3.365289861512096,yes,14,control,4.75,6.178895092001623,4,3,7,5,6,5,3,4,5,6
24,54,right,4.158937096416334,no,15,negative,4.75,4.289747694343953,5,4,6,4,5,3,2,7,3,3
25,33,left,2.9273194319474674,yes,16,positive,3.5,7.303969093384702,4,3,8,3,4,6,6,4,5,7
26,57,center,4.756627849272872,yes,16,positive,5,7.411312295285189,5,2,5,4,5,6,4,4,6,7
27,25,left,4.215687718516155,yes,17,positive,5.5,6.497374421901543,6,3,6,5,6,5,2,5,4,6
28,24,center,3.5833793779955316,no,13,control,4,5.7217200764805325,4,1,7,3,5,4,3,6,5,6
29,22,left,4.9395455621045254,no,10,positive,5.5,6.974339117508612,6,3,5,4,6,6,7,5,5,7
30,58,right,2.7888662600060807,yes,19,negative,3.5,3.3492741302498747,4,2,8,4,3,3,1,9,3,3
31,65,center,4.842697306790542,yes,16,positive,4.75,7.836749762672001,5,3,6,4,5,7,4,4,6,8
32,25,left,4.63427614767318,no,8,control,3,3.441744412356286,3,1,9,3,4,3,6,8,3,3
33,36,left,3.3699640597205214,no,10,positive,6.25,7.719089395429102,6,5,5,6,7,6,3,5,5,6
34,24,right,4.278113004519316,yes,14,negative,3.25,4.677333835567824,4,4,9,3,4,4,2,7,3,5
35,20,left,2.375179082214707,no,13,positive,3.5,4.340827992827648,3,2,7,4,3,3,1,7,3,4
36,53,left,5.071432930920244,yes,18,control,5.5,6.739357177738084,5,1,5,5,6,5,6,4,5,6
37,64,right,4.655201067608868,yes,21,positive,3.5,5.47907240395683,4,1,8,3,4,5,4,5,4,5
38,39,left,5.1795898337197,yes,19,negative,5.25,5.637100388254235,5,4,6,5,6,4,1,6,3,5
39,52,left,4.889392747124489,yes,16,control,5,8.944965382727144,5,4,7,5,6,8,1,3,6,7
40,34,center,3.7062952763151475,yes,19,negative,4.75,5.6364677144312525,5,4,6,4,5,5,2,6,4,5
41,34,center,4.002703764340054,no,8,negative,5.5,2.115649996267054,5,5,5,5,6,2,3,10,2,2
42,35,left,5.006930865946833,no,18,positive,5.5,7.095705148020552,6,3,6,5,6,6,4,5,6,7
43,35,center,4.41818348447395,yes,15,negative,4.25,5.696713315703883,4,1,7,4,5,5,2,6,5,5
44,52,center,4.528824922229068,yes,17,control,4,4.387469660208187,4,4,7,3,5,4,4,8,3,4
45,29,center,4.009939630995685,yes,17,negative,5.25,5.775667056899102,6,2,6,5,5,5,5,6,5,5
